reporting_fiscal_year,reporting_as_of_date,category,subcategory,month_to_date_actual_amount,month_to_date_budgeted_amount,year_to_date_actual_amount,year_to_date_budgeted_amount,ObjectId
2018,2018/01/31 05:00:00+00,Revenue,Operating Revenues,59665001.01,61446196.07,437952273.8,448226775.1,213
2018,2017/12/31 05:00:00+00,Expenses,Debt Service,40950410.61,37622483.13,233353368.8,225655565.4,214
2018,2017/12/31 05:00:00+00,Revenue,Non-Operating Revenues,104628824.9,102278156.7,613372077.2,598750627.3,215
2018,2017/12/31 05:00:00+00,Expenses,Operating Expenses,129917509.6,129872770.7,774026289.7,774178121,216
2018,2017/12/31 05:00:00+00,Revenue,Operating Revenues,59106415.03,62619607.24,378287272.9,386780579,217
2018,2017/11/30 05:00:00+00,Expenses,Debt Service,34895312.01,37622483.13,192402958.2,188033082.3,218
2018,2017/11/30 05:00:00+00,Revenue,Non-Operating Revenues,107742005.4,99500149.15,508743252.3,496472470.6,219
2018,2017/11/30 05:00:00+00,Expenses,Operating Expenses,127031570.3,130832844.9,644108780.1,644305350.3,220
2018,2017/11/30 05:00:00+00,Revenue,Operating Revenues,55369719.86,63218994.34,319180857.8,324160971.8,221
2018,2017/10/31 04:00:00+00,Expenses,Debt Service,37409465.22,37622483.13,157507646.1,150410599.2,222
2018,2017/10/31 04:00:00+00,Revenue,Non-Operating Revenues,97313016.5,98999902.36,401001247,396972321.5,223
2018,2017/10/31 04:00:00+00,Expenses,Operating Expenses,124628600.2,128683307.3,517077209.7,513472505.4,224
2018,2017/10/31 04:00:00+00,Revenue,Operating Revenues,65610502.06,65546800.15,263811138,260941977.4,225
2018,2017/09/30 04:00:00+00,Expenses,Debt Service,48657598.81,37596038.68,120098180.9,112788116,226
2018,2017/09/30 04:00:00+00,Revenue,Non-Operating Revenues,98614617.49,99778797.61,303688230.4,297972419.1,227
2018,2017/09/30 04:00:00+00,Expenses,Operating Expenses,134770640.1,127228313.9,392448609.5,384789198.2,228
2018,2017/09/30 04:00:00+00,Revenue,Operating Revenues,65872945.59,66183310.4,198200635.9,195395177.3,229
2018,2017/08/31 04:00:00+00,Expenses,Debt Service,35466487.01,37596038.68,71440582.08,75192077.35,230
2018,2017/08/31 04:00:00+00,Revenue,Non-Operating Revenues,99406172.71,99185349.04,205073613,198193621.5,231
2018,2017/08/31 04:00:00+00,Expenses,Operating Expenses,127076261.1,129781271.4,257677969.5,257560884.3,232
2018,2017/08/31 04:00:00+00,Revenue,Operating Revenues,69164671.72,65458815,132327690.3,129211866.9,233
2018,2017/07/31 04:00:00+00,Expenses,Debt Service,35974095.07,37596038.68,35974095.07,37596038.68,234
2018,2017/07/31 04:00:00+00,Revenue,Non-Operating Revenues,105667440.2,99008272.47,105667440.2,99008272.47,235
2018,2017/07/31 04:00:00+00,Expenses,Operating Expenses,130601708.4,127779612.9,130601708.4,127779612.9,236
2018,2017/07/31 04:00:00+00,Revenue,Operating Revenues,63163018.54,63753051.87,63163018.54,63753051.87,237
2017,2017/06/30 04:00:00+00,Expenses,Debt Service,40956991.36,38306175,427924439.2,458142702,238
2017,2017/06/30 04:00:00+00,Revenue,Non-Operating Revenues,110027956.2,103439811.3,1209548604,1218861746,239
